"","TeamName","Season","NumOT","TeamID","Score","FGM","FGA","FGM3","FGA3","WFTM","FTA","OR","DR","Ast","TO","Stl","Blk","Pf","Won","FGPCT","FG3PCT","FTP"
"19","Colgate",2022,0,1159,65,22,56,8,23,13,16,4,27,14,8,6,2,18,"1",0.392857142857143,0.347826086956522,0.8125
"20","Colorado",2022,1,1160,94,29,57,9,19,27,37,11,24,15,16,7,4,17,"1",0.508771929824561,0.473684210526316,0.72972972972973
"21","Colorado St",2022,0,1161,109,43,73,11,24,12,14,7,35,20,5,4,9,12,"1",0.589041095890411,0.458333333333333,0.857142857142857
"22","Connecticut",2022,0,1163,99,38,62,8,13,15,19,13,20,16,14,15,9,18,"1",0.612903225806452,0.615384615384615,0.789473684210526
"23","Cornell",2022,0,1165,76,27,57,4,20,18,32,7,29,6,14,12,1,17,"1",0.473684210526316,0.2,0.5625
"24","Creighton",2022,0,1166,90,38,65,7,25,7,12,9,34,22,18,8,7,17,"1",0.584615384615385,0.28,0.583333333333333
"25","Davidson",2022,0,1172,93,32,54,14,23,15,20,5,24,20,10,5,3,23,"1",0.592592592592593,0.608695652173913,0.75
"26","Dayton",2022,0,1173,64,24,51,2,14,14,23,9,29,11,9,3,1,9,"1",0.470588235294118,0.142857142857143,0.608695652173913
"27","Duke",2022,0,1181,79,31,61,1,13,16,23,7,25,7,9,9,5,15,"1",0.508196721311475,0.0769230769230769,0.695652173913043
"28","Duquesne",2022,0,1182,73,24,61,12,30,13,13,8,22,15,6,6,4,13,"1",0.39344262295082,0.4,1
"29","East Carolina",2022,0,1187,70,24,74,6,27,16,27,15,30,12,9,9,6,15,"1",0.324324324324324,0.222222222222222,0.592592592592593
"30","Florida",2022,0,1196,74,25,59,8,25,16,29,16,21,16,13,7,10,18,"1",0.423728813559322,0.32,0.551724137931034
"31","Fordham",2022,0,1200,77,26,60,12,32,13,19,9,25,11,8,6,3,16,"1",0.433333333333333,0.375,0.684210526315789
"32","G Washington",2022,0,1203,75,24,62,9,24,18,26,9,27,14,15,8,9,23,"1",0.387096774193548,0.375,0.692307692307692
"33","Ga Southern",2022,0,1204,82,30,57,7,21,15,23,8,26,15,12,12,5,18,"1",0.526315789473684,0.333333333333333,0.652173913043478
"34","George Mason",2022,0,1206,74,32,61,7,25,3,6,8,31,15,14,7,5,13,"1",0.524590163934426,0.28,0.5
"35","Georgia",2022,0,1208,58,20,57,3,15,15,21,14,28,13,15,9,2,9,"1",0.350877192982456,0.2,0.714285714285714
"36","Gonzaga",2022,0,1211,97,37,68,6,21,17,24,14,30,23,15,10,9,18,"1",0.544117647058823,0.285714285714286,0.708333333333333
"37","Grand Canyon",2022,0,1213,74,28,60,9,24,9,19,11,25,14,11,11,1,16,"1",0.466666666666667,0.375,0.473684210526316
"38","Houston",2022,1,1222,83,29,65,10,24,15,25,17,29,15,10,4,3,13,"1",0.446153846153846,0.416666666666667,0.6
"39","Illinois",2022,0,1228,71,24,55,9,21,14,21,15,28,16,18,12,4,14,"1",0.436363636363636,0.428571428571429,0.666666666666667
"40","Illinois St",2022,0,1229,68,19,56,8,25,22,32,11,32,9,10,2,10,16,"1",0.339285714285714,0.32,0.6875
"41","Indiana",2022,0,1231,68,26,62,4,24,12,20,4,35,13,8,3,6,15,"1",0.419354838709677,0.166666666666667,0.6
"42","Indiana St",2022,0,1232,81,29,56,5,15,18,22,7,27,10,16,7,3,15,"1",0.517857142857143,0.333333333333333,0.818181818181818
"43","Iona",2022,0,1233,65,24,49,3,15,14,20,6,26,16,11,3,9,21,"1",0.489795918367347,0.2,0.7
"44","Iowa",2022,0,1234,106,36,65,15,33,19,22,9,33,24,8,6,8,20,"1",0.553846153846154,0.454545454545455,0.863636363636364
"45","Iowa St",2022,0,1235,84,27,51,8,25,22,33,6,20,16,22,14,1,31,"1",0.529411764705882,0.32,0.666666666666667
"46","Kansas",2022,0,1242,87,31,64,6,17,19,24,7,22,13,8,8,4,20,"1",0.484375,0.352941176470588,0.791666666666667
"47","Louisville",2022,0,1257,72,27,65,7,28,11,19,15,35,12,19,9,5,20,"1",0.415384615384615,0.25,0.578947368421053
"48","Loyola-Chicago",2022,0,1260,103,38,72,20,46,7,11,9,42,31,11,7,0,22,"1",0.527777777777778,0.434782608695652,0.636363636363636
"49","LSU",2022,0,1261,101,38,72,12,29,13,19,17,30,23,11,14,7,16,"1",0.527777777777778,0.413793103448276,0.684210526315789
"50","Marquette",2022,0,1266,88,30,68,7,26,21,29,12,21,19,14,9,5,25,"1",0.441176470588235,0.269230769230769,0.724137931034483
"51","Maryland",2022,0,1268,83,31,63,6,17,15,23,13,30,17,12,6,5,13,"1",0.492063492063492,0.352941176470588,0.652173913043478
"52","Massachusetts",2022,0,1269,77,31,65,4,17,11,18,8,24,14,9,11,5,18,"1",0.476923076923077,0.235294117647059,0.611111111111111
"53","Memphis",2022,0,1272,89,35,59,13,26,6,11,10,20,21,17,10,11,16,"1",0.593220338983051,0.5,0.545454545454545
"54","Miami FL",2022,0,1274,77,29,60,5,17,14,22,10,26,20,13,10,6,17,"1",0.483333333333333,0.294117647058824,0.636363636363636
"55","Miami OH",2022,0,1275,72,25,64,6,31,16,21,7,23,9,8,7,4,17,"1",0.390625,0.193548387096774,0.761904761904762
"56","Minnesota",2022,0,1278,71,24,52,8,22,15,20,3,25,17,9,8,6,14,"1",0.461538461538462,0.363636363636364,0.75
"57","Mississippi",2022,0,1279,82,34,64,9,22,5,9,5,24,23,11,10,3,12,"1",0.53125,0.409090909090909,0.555555555555556
"58","Missouri",2022,0,1281,78,27,61,9,27,15,22,16,23,14,10,6,4,16,"1",0.442622950819672,0.333333333333333,0.681818181818182
"59","N Illinois",2022,0,1296,71,21,48,12,23,17,25,3,31,12,17,4,14,30,"1",0.4375,0.521739130434783,0.68
"60","Navy",2022,0,1298,66,24,53,11,21,7,10,9,25,14,17,9,5,17,"1",0.452830188679245,0.523809523809524,0.7
"61","NC State",2022,0,1301,88,33,72,7,25,15,20,17,26,7,8,13,2,12,"1",0.458333333333333,0.28,0.75
"62","Nevada",2022,0,1305,91,37,73,7,21,10,15,11,31,25,9,4,7,12,"1",0.506849315068493,0.333333333333333,0.666666666666667
"63","New Mexico St",2022,0,1308,62,20,53,7,23,15,16,6,30,11,9,4,6,13,"1",0.377358490566038,0.304347826086957,0.9375
"64","Nicholls St",2022,0,1311,62,25,51,5,18,7,18,6,30,8,9,4,0,25,"1",0.490196078431373,0.277777777777778,0.388888888888889
"65","North Carolina",2022,0,1314,83,29,55,8,21,17,28,5,29,15,12,7,3,20,"1",0.527272727272727,0.380952380952381,0.607142857142857
"66","Northwestern",2022,0,1321,80,28,69,8,22,16,22,11,26,19,5,16,6,16,"1",0.405797101449275,0.363636363636364,0.727272727272727
"67","Ohio",2022,0,1325,92,33,68,16,37,10,12,8,21,17,8,7,4,11,"1",0.485294117647059,0.432432432432432,0.833333333333333
"68","Ohio St",2022,0,1326,67,26,60,4,14,11,16,16,19,11,9,5,5,15,"1",0.433333333333333,0.285714285714286,0.6875
"69","Oklahoma",2022,0,1328,77,32,58,9,25,4,11,3,27,16,11,8,3,12,"1",0.551724137931034,0.36,0.363636363636364
"70","Oklahoma St",2022,0,1329,88,33,70,9,25,13,17,18,31,19,12,15,3,13,"1",0.471428571428571,0.36,0.764705882352941
"71","Oregon",2022,0,1332,83,26,65,12,36,19,21,16,18,15,8,8,3,18,"1",0.4,0.333333333333333,0.904761904761905
"72","Oregon St",2022,0,1333,73,26,62,6,14,15,26,11,28,14,14,11,7,18,"1",0.419354838709677,0.428571428571429,0.576923076923077
"73","Providence",2022,0,1344,80,26,51,4,18,24,36,6,22,16,14,7,7,18,"1",0.509803921568627,0.222222222222222,0.666666666666667
"74","Purdue",2022,0,1345,96,28,56,16,36,24,29,13,27,21,12,7,3,13,"1",0.5,0.444444444444444,0.827586206896552
"75","Rhode Island",2022,0,1348,71,23,47,2,6,23,31,6,23,9,16,13,10,21,"1",0.48936170212766,0.333333333333333,0.741935483870968
"76","Rice",2022,0,1349,82,30,61,11,31,11,16,7,32,21,14,12,1,13,"1",0.491803278688525,0.354838709677419,0.6875
"77","Richmond",2022,0,1350,70,24,58,6,27,16,21,9,22,14,11,13,4,10,"1",0.413793103448276,0.222222222222222,0.761904761904762
"78","S Dakota St",2022,0,1355,81,22,66,9,20,28,29,13,34,12,14,9,3,14,"1",0.333333333333333,0.45,0.96551724137931
"79","Sacred Heart",2022,1,1357,86,32,70,11,31,11,16,10,36,18,16,3,1,19,"1",0.457142857142857,0.354838709677419,0.6875
"80","San Diego St",2022,0,1361,66,23,49,2,11,18,29,5,27,7,12,4,8,14,"1",0.469387755102041,0.181818181818182,0.620689655172414
"81","San Francisco",2022,0,1362,98,33,62,12,30,20,25,15,24,8,12,14,3,13,"1",0.532258064516129,0.4,0.8
"82","Santa Clara",2022,0,1365,84,34,60,5,15,11,13,6,15,19,8,8,0,20,"1",0.566666666666667,0.333333333333333,0.846153846153846
"83","SE Missouri St",2022,0,1369,99,32,56,8,19,27,34,4,25,10,11,6,2,26,"1",0.571428571428571,0.421052631578947,0.794117647058823
"84","SMU",2022,0,1374,86,31,66,8,20,16,25,9,35,13,15,14,8,13,"1",0.46969696969697,0.4,0.64
"85","South Carolina",2022,0,1376,78,30,76,4,19,14,21,14,31,10,14,10,6,17,"1",0.394736842105263,0.210526315789474,0.666666666666667
"86","South Florida",2022,0,1378,75,28,54,3,13,16,23,4,29,15,7,6,3,9,"1",0.518518518518518,0.230769230769231,0.695652173913043
"87","St Bonaventure",2022,0,1382,75,29,58,4,14,13,21,10,24,10,6,7,8,13,"1",0.5,0.285714285714286,0.619047619047619
"88","St John's",2022,0,1385,119,45,65,13,25,16,20,10,37,30,20,9,9,24,"1",0.692307692307692,0.52,0.8
"89","St Joseph's PA",2022,0,1386,69,26,66,10,31,7,16,11,26,18,16,4,2,11,"1",0.393939393939394,0.32258064516129,0.4375
"90","St Louis",2022,0,1387,96,37,72,9,22,13,20,11,27,17,11,12,2,15,"1",0.513888888888889,0.409090909090909,0.65
"91","St Mary's CA",2022,0,1388,87,29,55,13,31,16,22,11,20,23,16,8,3,15,"1",0.527272727272727,0.419354838709677,0.727272727272727
"92","Stanford",2022,0,1390,62,20,47,6,21,16,22,10,24,12,13,3,1,11,"1",0.425531914893617,0.285714285714286,0.727272727272727
"93","Syracuse",2022,0,1393,97,37,68,13,26,10,13,8,33,26,9,7,5,10,"1",0.544117647058823,0.5,0.769230769230769
"94","Tennessee",2022,0,1397,90,33,77,17,40,7,13,22,21,18,10,12,9,12,"1",0.428571428571429,0.425,0.538461538461538
"95","Texas",2022,0,1400,92,32,50,13,22,15,22,7,24,21,11,10,5,19,"1",0.64,0.590909090909091,0.681818181818182
"96","Texas St",2022,0,1402,75,33,54,5,13,4,11,8,14,5,10,6,1,15,"1",0.611111111111111,0.384615384615385,0.363636363636364
"97","Texas Tech",2022,0,1403,89,35,68,4,15,15,22,15,22,20,12,11,3,17,"1",0.514705882352941,0.266666666666667,0.681818181818182
"98","Toledo",2022,0,1405,69,24,55,6,15,15,18,8,27,13,11,3,2,15,"1",0.436363636363636,0.4,0.833333333333333
"99","Towson",2022,0,1406,77,30,64,7,24,10,22,13,25,14,9,10,4,16,"1",0.46875,0.291666666666667,0.454545454545455
"100","Tulane",2022,0,1408,70,28,62,8,18,6,12,11,28,13,11,4,4,18,"1",0.451612903225806,0.444444444444444,0.5
"101","UAB",2022,0,1412,102,40,71,6,15,16,23,12,24,14,6,13,6,19,"1",0.563380281690141,0.4,0.695652173913043
"102","UC Davis",2022,0,1413,72,23,58,6,21,20,27,12,28,14,19,9,0,24,"1",0.396551724137931,0.285714285714286,0.740740740740741
"103","UCLA",2022,0,1417,95,31,62,13,27,20,26,5,34,13,11,7,8,12,"1",0.5,0.481481481481481,0.769230769230769
"104","UNC Greensboro",2022,0,1422,57,21,56,6,20,9,17,10,36,13,16,3,1,17,"1",0.375,0.3,0.529411764705882
"105","USC",2022,0,1425,89,36,64,6,20,11,13,11,26,15,10,8,6,13,"1",0.5625,0.3,0.846153846153846
"106","Utah",2022,0,1428,70,24,62,7,23,15,23,19,32,12,20,5,3,22,"1",0.387096774193548,0.304347826086957,0.652173913043478
"107","VCU",2022,0,1433,57,18,43,2,14,19,27,4,26,12,19,10,12,15,"1",0.418604651162791,0.142857142857143,0.703703703703704
"108","Villanova",2022,0,1437,91,31,56,16,30,13,14,5,18,21,5,13,2,15,"1",0.553571428571429,0.533333333333333,0.928571428571429
"109","Virginia Tech",2022,0,1439,82,35,66,9,21,3,5,7,25,18,8,4,3,11,"1",0.53030303030303,0.428571428571429,0.6
"110","W Carolina",2022,1,1441,79,26,70,12,34,15,27,17,33,19,17,8,2,20,"1",0.371428571428571,0.352941176470588,0.555555555555556
"111","W Illinois",2022,0,1442,75,30,77,9,33,6,14,22,33,11,17,7,1,25,"1",0.38961038961039,0.272727272727273,0.428571428571429
"112","WKU",2022,0,1443,79,28,64,6,19,17,30,11,20,13,17,9,4,13,"1",0.4375,0.315789473684211,0.566666666666667
"113","Wagner",2022,0,1447,77,32,58,7,18,6,9,8,26,17,14,12,3,23,"1",0.551724137931034,0.388888888888889,0.666666666666667
"114","Washington St",2022,0,1450,85,25,58,11,36,24,30,17,23,16,14,5,4,20,"1",0.431034482758621,0.305555555555556,0.8
"115","West Virginia",2022,0,1452,60,23,58,4,21,10,18,10,22,15,14,11,7,13,"1",0.396551724137931,0.19047619047619,0.555555555555556
"116","WI Milwaukee",2022,0,1454,75,23,53,6,15,23,30,2,34,9,8,5,3,20,"1",0.433962264150943,0.4,0.766666666666667
"117","Wichita St",2022,0,1455,60,22,57,4,22,12,14,12,23,11,11,10,7,10,"1",0.385964912280702,0.181818181818182,0.857142857142857
"118","Wisconsin",2022,0,1458,81,29,66,10,22,13,18,13,30,12,11,6,4,10,"1",0.439393939393939,0.454545454545455,0.722222222222222
"119","Xavier",2022,0,1462,63,21,56,8,27,13,21,11,28,13,13,11,4,15,"1",0.375,0.296296296296296,0.619047619047619
"120","UC San Diego",2022,0,1471,80,24,46,10,22,22,28,1,29,10,12,5,2,20,"1",0.521739130434783,0.454545454545455,0.785714285714286
"121","DePaul",2022,0,1177,97,36,76,9,30,16,20,18,30,17,16,9,5,14,"1",0.473684210526316,0.3,0.8
"122","Florida St",2022,0,1199,105,37,75,7,22,24,34,23,24,16,11,15,6,18,"1",0.493333333333333,0.318181818181818,0.705882352941177
"123","Kansas St",2022,0,1243,67,21,50,9,22,16,25,8,25,15,11,5,0,16,"1",0.42,0.409090909090909,0.64
"124","Long Beach St",2022,1,1253,95,36,63,3,11,20,29,7,32,17,17,6,3,21,"1",0.571428571428571,0.272727272727273,0.689655172413793
"125","Michigan",2022,0,1276,88,32,59,6,15,18,30,9,26,16,10,3,4,23,"1",0.542372881355932,0.4,0.6
"126","Mississippi St",2022,0,1280,75,27,56,6,18,15,26,13,29,14,13,12,7,11,"1",0.482142857142857,0.333333333333333,0.576923076923077
"127","N Colorado",2022,0,1294,67,28,59,5,22,6,9,5,24,9,12,5,2,18,"1",0.474576271186441,0.227272727272727,0.666666666666667
"128","New Mexico",2022,0,1307,99,35,66,12,23,17,23,6,18,15,10,7,5,20,"1",0.53030303030303,0.521739130434783,0.739130434782609
"129","Penn St",2022,0,1336,75,31,60,6,20,7,11,10,29,16,9,3,1,15,"1",0.516666666666667,0.3,0.636363636363636
"130","Rutgers",2022,1,1353,73,27,72,1,13,18,25,13,26,14,11,14,6,14,"1",0.375,0.0769230769230769,0.72
"131","Seattle",2022,0,1370,69,23,58,9,27,14,17,6,22,17,14,5,1,19,"1",0.396551724137931,0.333333333333333,0.823529411764706
"132","Seton Hall",2022,0,1371,93,31,64,13,24,18,25,9,34,15,11,7,9,17,"1",0.484375,0.541666666666667,0.72
"133","Temple",2022,0,1396,72,28,57,7,22,9,16,9,32,17,13,6,8,14,"1",0.491228070175439,0.318181818181818,0.5625
"134","Texas A&M",2022,0,1401,64,24,65,2,14,14,18,10,20,14,13,10,4,15,"1",0.369230769230769,0.142857142857143,0.777777777777778
"135","Tulsa",2022,0,1409,82,27,58,10,23,18,22,9,24,17,16,8,4,12,"1",0.46551724137931,0.434782608695652,0.818181818181818
"136","UCF",2022,0,1416,69,28,64,6,24,7,10,10,22,11,8,9,8,15,"1",0.4375,0.25,0.7
"137","UNLV",2022,0,1424,64,20,66,2,25,22,27,16,28,6,10,7,6,14,"1",0.303030303030303,0.08,0.814814814814815
"138","Vanderbilt",2022,0,1435,91,29,64,8,28,25,33,16,20,17,14,11,3,17,"1",0.453125,0.285714285714286,0.757575757575758
"139","Wake Forest",2022,0,1448,77,31,60,7,23,8,14,10,25,13,17,14,8,16,"1",0.516666666666667,0.304347826086957,0.571428571428571
"140","Wyoming",2022,0,1461,85,34,62,9,23,8,9,7,30,16,6,3,3,11,"1",0.548387096774194,0.391304347826087,0.888888888888889
"141","Col Charleston",2022,0,1158,106,38,80,10,28,20,29,15,37,18,15,10,3,29,"1",0.475,0.357142857142857,0.689655172413793
"142","Creighton",2022,0,1166,51,20,52,1,19,10,18,7,36,8,13,6,2,11,"1",0.384615384615385,0.0526315789473684,0.555555555555556
"143","Evansville",2022,0,1191,60,18,38,6,19,18,24,2,27,7,12,12,2,10,"1",0.473684210526316,0.315789473684211,0.75
"144","Maryland",2022,0,1268,71,24,64,3,20,20,29,16,30,11,13,9,6,10,"1",0.375,0.15,0.689655172413793
"145","N Colorado",2022,0,1294,81,24,53,15,33,18,26,6,23,14,11,3,6,17,"1",0.452830188679245,0.454545454545455,0.692307692307692
"146","Providence",2022,0,1344,92,32,57,11,26,17,24,9,25,16,11,9,3,14,"1",0.56140350877193,0.423076923076923,0.708333333333333
"147","San Francisco",2022,0,1362,92,33,54,11,24,15,22,8,25,13,20,7,11,21,"1",0.611111111111111,0.458333333333333,0.681818181818182
"148","San Jose St",2022,0,1363,78,28,61,14,28,8,12,10,18,18,13,4,5,23,"1",0.459016393442623,0.5,0.666666666666667
"149","South Dakota",2022,0,1377,59,21,58,6,18,11,16,11,26,10,12,6,2,15,"1",0.362068965517241,0.333333333333333,0.6875
"150","TCU",2022,0,1395,77,23,65,7,21,24,34,20,34,15,18,7,3,12,"1",0.353846153846154,0.333333333333333,0.705882352941177
"151","UC Riverside",2022,0,1415,66,23,61,14,29,6,10,11,26,19,12,1,1,17,"1",0.377049180327869,0.482758620689655,0.6
"152","Vermont",2022,0,1436,71,27,60,11,33,6,6,4,30,16,9,11,2,17,"1",0.45,0.333333333333333,1
"153","Washington",2022,0,1449,73,22,60,5,13,24,35,12,24,5,13,10,7,16,"1",0.366666666666667,0.384615384615385,0.685714285714286
"154","Merrimack",2022,0,1467,61,19,44,9,22,14,20,1,20,7,17,12,4,21,"1",0.431818181818182,0.409090909090909,0.7
"155","Alabama",2022,0,1104,104,41,84,13,40,9,14,17,29,19,8,4,3,17,"1",0.488095238095238,0.325,0.642857142857143
"156","American Univ",2022,0,1110,74,28,60,6,17,12,20,5,32,13,12,8,5,22,"1",0.466666666666667,0.352941176470588,0.6
"157","Appalachian St",2022,0,1111,69,23,52,10,25,13,18,9,25,15,12,4,0,12,"1",0.442307692307692,0.4,0.722222222222222
"158","Arizona",2022,0,1112,104,34,56,11,29,25,35,11,40,25,18,8,8,22,"1",0.607142857142857,0.379310344827586,0.714285714285714
"159","Auburn",2022,0,1120,93,29,60,10,25,25,32,10,29,17,10,9,10,22,"1",0.483333333333333,0.4,0.78125
"160","Baylor",2022,0,1124,87,35,71,7,22,10,14,13,21,22,10,8,6,14,"1",0.492957746478873,0.318181818181818,0.714285714285714
"161","Boston College",2022,0,1130,85,34,57,3,14,14,20,5,21,17,8,12,2,15,"1",0.596491228070175,0.214285714285714,0.7
"162","Butler",2022,0,1139,85,27,47,10,22,21,30,5,27,15,10,3,3,14,"1",0.574468085106383,0.454545454545455,0.7
"163","BYU",2022,0,1140,66,22,57,4,18,18,23,12,24,12,10,1,4,18,"1",0.385964912280702,0.222222222222222,0.782608695652174
"164","Campbell",2022,0,1144,68,28,63,4,17,8,9,7,22,8,4,5,6,10,"1",0.444444444444444,0.235294117647059,0.888888888888889
"165","Charlotte",2022,0,1150,76,24,49,7,19,21,24,6,22,16,11,6,2,11,"1",0.489795918367347,0.368421052631579,0.875
"166","Chicago St",2022,0,1152,67,23,49,7,20,14,25,8,24,8,13,1,2,24,"1",0.469387755102041,0.35,0.56
"167","Clemson",2022,0,1155,76,23,49,9,21,21,29,10,24,11,19,8,4,21,"1",0.469387755102041,0.428571428571429,0.724137931034483
"168","Col Charleston",2022,0,1158,86,29,79,10,32,18,24,14,31,18,10,9,5,21,"1",0.367088607594937,0.3125,0.75
"169","Colorado St",2022,0,1161,91,32,57,8,16,19,21,8,33,17,15,4,10,16,"1",0.56140350877193,0.5,0.904761904761905
"170","Cornell",2022,0,1165,90,29,64,12,31,20,28,10,27,15,12,3,3,17,"1",0.453125,0.387096774193548,0.714285714285714
"171","Duke",2022,0,1181,82,31,71,9,29,11,13,10,29,21,11,14,3,12,"1",0.436619718309859,0.310344827586207,0.846153846153846
"172","E Michigan",2022,2,1185,103,32,73,7,23,32,43,13,27,10,14,13,3,24,"1",0.438356164383562,0.304347826086957,0.744186046511628
"173","East Carolina",2022,0,1187,83,28,60,7,22,20,22,8,33,19,19,10,4,21,"1",0.466666666666667,0.318181818181818,0.909090909090909
"174","Fresno St",2022,0,1201,84,28,59,10,32,18,25,13,32,16,18,6,3,10,"1",0.474576271186441,0.3125,0.72
"175","Furman",2022,1,1202,80,24,61,12,28,20,26,4,37,16,11,4,2,18,"1",0.39344262295082,0.428571428571429,0.769230769230769
"176","George Mason",2022,0,1206,87,31,55,12,26,13,19,3,30,13,14,9,7,14,"1",0.563636363636364,0.461538461538462,0.684210526315789
"177","Georgia St",2022,0,1209,83,33,67,12,26,5,8,11,23,16,7,6,1,19,"1",0.492537313432836,0.461538461538462,0.625
"178","Georgia Tech",2022,0,1210,77,33,64,9,19,2,7,7,31,22,16,9,1,13,"1",0.515625,0.473684210526316,0.285714285714286
"179","Grand Canyon",2022,0,1213,65,24,50,6,16,11,15,11,26,11,13,8,3,18,"1",0.48,0.375,0.733333333333333
"180","Houston",2022,0,1222,79,28,67,10,30,13,18,12,25,15,7,13,6,18,"1",0.417910447761194,0.333333333333333,0.722222222222222
"181","Illinois",2022,0,1228,92,32,70,5,25,23,38,22,32,14,13,5,5,18,"1",0.457142857142857,0.2,0.605263157894737
"182","Indiana",2022,0,1231,85,27,56,8,23,23,30,8,26,14,15,6,9,22,"1",0.482142857142857,0.347826086956522,0.766666666666667
"183","Iowa",2022,0,1234,89,34,65,4,16,17,22,8,29,18,8,11,5,11,"1",0.523076923076923,0.25,0.772727272727273
"184","Iowa St",2022,0,1235,60,25,57,7,26,3,5,5,31,15,17,4,4,17,"1",0.43859649122807,0.269230769230769,0.6
"185","Kansas",2022,0,1242,88,34,58,9,20,11,17,10,28,23,13,3,11,9,"1",0.586206896551724,0.45,0.647058823529412
"186","Kentucky",2022,0,1246,100,40,70,12,23,8,12,13,25,24,10,8,10,8,"1",0.571428571428571,0.521739130434783,0.666666666666667
"187","Louisiana Tech",2022,0,1256,70,24,58,6,23,16,22,9,19,13,14,10,4,15,"1",0.413793103448276,0.260869565217391,0.727272727272727
"188","Loyola MD",2022,0,1259,75,26,59,11,29,12,17,8,28,17,16,9,3,14,"1",0.440677966101695,0.379310344827586,0.705882352941177
"189","LSU",2022,0,1261,84,28,52,10,18,18,23,8,22,15,13,7,6,22,"1",0.538461538461538,0.555555555555556,0.782608695652174
"190","Manhattan",2022,0,1264,66,23,59,2,11,18,29,14,21,15,18,14,4,19,"1",0.389830508474576,0.181818181818182,0.620689655172414
"191","Marist",2022,0,1265,82,27,46,12,23,16,19,7,25,14,14,7,3,17,"1",0.58695652173913,0.521739130434783,0.842105263157895
"192","Marquette",2022,0,1266,75,22,54,7,27,24,32,8,30,12,9,7,3,20,"1",0.407407407407407,0.259259259259259,0.75
"193","Marshall",2022,0,1267,96,33,63,8,26,22,27,6,33,19,21,9,9,26,"1",0.523809523809524,0.307692307692308,0.814814814814815
"194","Michigan St",2022,0,1277,90,34,66,4,19,18,24,17,36,19,13,8,9,12,"1",0.515151515151515,0.210526315789474,0.75
"195","Minnesota",2022,0,1278,73,24,59,12,31,13,18,6,25,11,12,7,1,15,"1",0.406779661016949,0.387096774193548,0.722222222222222
"196","Mississippi",2022,0,1279,93,38,75,11,29,6,7,9,28,23,9,5,4,18,"1",0.506666666666667,0.379310344827586,0.857142857142857
"197","MTSU",2022,0,1292,71,25,53,8,23,13,19,8,19,13,9,9,3,14,"1",0.471698113207547,0.347826086956522,0.684210526315789
"198","N Dakota St",2022,0,1295,60,20,53,8,27,12,15,12,22,10,17,5,1,17,"1",0.377358490566038,0.296296296296296,0.8
"199","Nebraska",2022,0,1304,74,22,54,4,22,26,36,9,30,10,11,8,6,16,"1",0.407407407407407,0.181818181818182,0.722222222222222
